session_id,faculty_id,batch_id,session_alloc,session_role,session_date,session_taken,session_left,session_status
164,2825,4339,0.75,Educator,2022-01-05,0.0,0.75,Pending
165,2842,4104,0.75,Educator,2022-01-05,0.0,0.75,Cancelled
166,4207,4024,0.5,Educator,2022-01-05,0.0,0.5,Pending
167,1704,4449,0.75,Co-Educator,2022-01-05,0.75,0.0,Completed
168,3490,4347,0.75,Educator,2022-01-05,0.75,0.0,Completed
169,3847,4474,0.5,Co-Educator,2022-01-05,0.5,0.0,Completed
170,4853,4055,0.75,Educator,2022-01-05,0.29,0.46,Partial
171,1533,4393,0.5,Co-Educator,2022-01-05,0.0,0.5,Pending
172,5313,4213,0.5,Co-Educator,2022-01-05,0.23,0.27,Partial
173,4003,4314,0.75,Co-Educator,2022-01-05,0.0,0.75,Cancelled
174,3918,4293,1.0,Invigilator,2022-01-05,0.53,0.47,Partial
175,3934,4305,1.0,Co-Educator,2022-01-05,1.0,0.0,Completed
176,4437,4391,0.75,Educator,2022-01-05,0.75,0.0,Completed
177,4520,4191,0.25,Educator,2022-01-05,0.25,0.0,Completed
178,5336,4377,0.75,Educator,2022-01-05,0.44,0.31,Partial
179,1098,4010,1.0,Educator,2022-01-05,0.77,0.23,Partial
180,4774,4369,0.5,Co-Educator,2022-01-05,0.0,0.5,Pending
181,2808,4011,0.25,Educator,2022-01-05,0.0,0.25,Cancelled
182,3470,4110,0.5,Co-Educator,2022-01-05,0.5,0.0,Completed
183,5527,4429,0.25,Educator,2022-01-05,0.15,0.1,Partial
184,1299,4123,0.75,Educator,2022-01-05,0.0,0.75,Cancelled
185,5923,4174,0.75,Educator,2022-01-05,0.75,0.0,Completed
186,5608,4363,0.25,Educator,2022-01-06,0.0,0.25,Cancelled
187,1494,4084,0.5,Educator,2022-01-06,0.0,0.5,Cancelled
188,2429,4121,0.25,Co-Educator,2022-01-06,0.18,0.07,Partial
189,4400,4247,0.5,Co-Educator,2022-01-06,0.0,0.5,Cancelled
190,4798,4033,1.0,Educator,2022-01-06,1.0,0.0,Completed
191,5321,4270,0.5,Educator,2022-01-06,0.5,0.0,Completed
192,3749,4161,1.0,Educator,2022-01-06,1.0,0.0,Completed
193,1810,4241,1.0,Educator,2022-01-06,1.0,0.0,Completed
194,3251,4089,1.0,Educator,2022-01-06,0.0,1.0,Cancelled
195,4453,4044,0.75,Educator,2022-01-06,0.75,0.0,Completed
196,4958,4143,0.5,Co-Educator,2022-01-06,0.0,0.5,Pending
197,4074,4308,1.0,Educator,2022-01-06,0.69,0.31,Partial
198,1041,4403,0.25,Educator,2022-01-06,0.12,0.13,Partial
199,3912,4395,0.75,Educator,2022-01-06,0.75,0.0,Completed
200,5262,4343,0.75,Educator,2022-01-06,0.75,0.0,Completed
201,1365,4054,0.25,Invigilator,2022-01-06,0.25,0.0,Completed
202,2528,4163,0.5,Educator,2022-01-06,0.5,0.0,Completed
203,5535,4229,0.25,Educator,2022-01-06,0.25,0.0,Completed
204,5952,4351,0.75,Educator,2022-01-06,0.53,0.22,Partial
205,1082,4471,0.5,Educator,2022-01-06,0.18,0.32,Partial
206,1991,4055,0.25,Educator,2022-01-06,0.17,0.08,Partial
207,3149,4150,0.25,Co-Educator,2022-01-06,0.13,0.12,Partial
208,1887,4297,0.5,Co-Educator,2022-01-06,0.5,0.0,Completed
209,3385,4002,0.75,Co-Educator,2022-01-06,0.75,0.0,Completed
210,2910,4227,0.25,Co-Educator,2022-01-06,0.17,0.08,Partial
211,4490,4244,0.25,Educator,2022-01-06,0.25,0.0,Completed
212,1655,4341,0.25,Educator,2022-01-06,0.19,0.06,Partial
213,5076,4187,1.0,Co-Educator,2022-01-06,0.75,0.25,Partial
214,3099,4360,0.25,Educator,2022-01-06,0.0,0.25,Pending
215,4230,4130,0.25,Invigilator,2022-01-06,0.25,0.0,Completed
216,4255,4169,0.75,Co-Educator,2022-01-06,0.41,0.34,Partial
217,2314,4473,1.0,Educator,2022-01-06,0.0,1.0,Pending
218,2118,4407,0.5,Educator,2022-01-06,0.0,0.5,Cancelled
219,5384,4497,0.25,Co-Educator,2022-01-06,0.0,0.25,Pending
220,2758,4464,0.25,Co-Educator,2022-01-06,0.0,0.25,Cancelled
221,4581,4371,1.0,Co-Educator,2022-01-06,1.0,0.0,Completed
222,5663,4206,0.5,Educator,2022-01-06,0.5,0.0,Completed
223,5119,4046,0.5,Educator,2022-01-06,0.0,0.5,Pending
224,5749,4499,0.75,Educator,2022-01-06,0.0,0.75,Cancelled
225,5461,4487,0.25,Co-Educator,2022-01-06,0.11,0.14,Partial
226,4964,4374,0.5,Co-Educator,2022-01-06,0.0,0.5,Cancelled
227,5157,4333,1.0,Co-Educator,2022-01-06,1.0,0.0,Completed
228,4155,4248,1.0,Co-Educator,2022-01-06,0.48,0.52,Partial
229,2778,4196,1.0,Co-Educator,2022-01-06,0.39,0.61,Partial
230,1626,4450,1.0,Educator,2022-01-06,0.0,1.0,Pending
231,2156,4015,1.0,Co-Educator,2022-01-07,1.0,0.0,Completed
232,3510,4109,1.0,Educator,2022-01-07,0.0,1.0,Pending
233,4955,4284,0.5,Co-Educator,2022-01-07,0.5,0.0,Completed
234,2798,4194,0.75,Educator,2022-01-07,0.39,0.36,Partial
235,4913,4025,1.0,Co-Educator,2022-01-07,1.0,0.0,Completed
236,1364,4354,1.0,Educator,2022-01-07,1.0,0.0,Completed
237,2927,4197,0.75,Co-Educator,2022-01-07,0.52,0.23,Partial
238,3171,4098,1.0,Educator,2022-01-07,1.0,0.0,Completed
239,1851,4241,0.5,Educator,2022-01-07,0.0,0.5,Pending
240,2823,4043,0.25,Educator,2022-01-07,0.19,0.06,Partial
241,2133,4398,0.25,Co-Educator,2022-01-07,0.09,0.16,Partial
242,2178,4249,1.0,Educator,2022-01-07,1.0,0.0,Completed
243,2288,4047,0.25,Co-Educator,2022-01-07,0.25,0.0,Completed
244,1655,4395,0.25,Educator,2022-01-07,0.25,0.0,Completed
245,5333,4402,0.5,Co-Educator,2022-01-07,0.0,0.5,Pending
246,1250,4328,1.0,Co-Educator,2022-01-07,0.0,1.0,Cancelled
247,2153,4246,0.75,Educator,2022-01-07,0.27,0.48,Partial
248,3050,4181,1.0,Invigilator,2022-01-07,1.0,0.0,Completed
249,4349,4255,0.25,Co-Educator,2022-01-07,0.17,0.08,Partial
250,1826,4268,0.75,Educator,2022-01-07,0.75,0.0,Completed
251,2201,4220,0.75,Educator,2022-01-07,0.75,0.0,Completed
252,3228,4261,0.25,Co-Educator,2022-01-07,0.25,0.0,Completed
253,2687,4028,1.0,Educator,2022-01-07,0.39,0.61,Partial
254,2123,4062,0.5,Educator,2022-01-07,0.33,0.17,Partial
255,3684,4477,0.5,Co-Educator,2022-01-07,0.36,0.14,Partial
256,5075,4298,0.5,Educator,2022-01-07,0.15,0.35,Partial
257,2649,4031,0.25,Educator,2022-01-07,0.18,0.07,Partial
258,3770,4199,0.75,Educator,2022-01-07,0.75,0.0,Completed
259,1272,4429,0.75,Invigilator,2022-01-07,0.0,0.75,Pending
260,1875,4229,0.25,Educator,2022-01-07,0.0,0.25,Pending
261,3886,4331,0.75,Educator,2022-01-07,0.43,0.32,Partial
262,2717,4380,0.25,Co-Educator,2022-01-07,0.25,0.0,Completed
263,2976,4027,0.75,Educator,2022-01-07,0.0,0.75,Pending
264,2479,4052,0.25,Educator,2022-01-07,0.25,0.0,Completed
265,4407,4133,0.75,Educator,2022-01-07,0.75,0.0,Completed
266,4217,4222,0.75,Co-Educator,2022-01-07,0.0,0.75,Cancelled
267,4187,4147,0.5,Educator,2022-01-07,0.5,0.0,Completed
268,3850,4192,0.25,Co-Educator,2022-01-07,0.0,0.25,Cancelled
269,5567,4278,0.75,Educator,2022-01-07,0.53,0.22,Partial
270,1696,4182,1.0,Co-Educator,2022-01-07,1.0,0.0,Completed
271,2818,4364,0.25,Co-Educator,2022-01-07,0.0,0.25,Cancelled
272,3978,4238,1.0,Educator,2022-01-07,0.31,0.69,Partial
273,4743,4120,1.0,Co-Educator,2022-01-07,1.0,0.0,Completed
274,3874,4287,1.0,Co-Educator,2022-01-07,1.0,0.0,Completed
275,1201,4478,0.5,Co-Educator,2022-01-10,0.25,0.25,Partial
276,4234,4291,0.25,Co-Educator,2022-01-10,0.25,0.0,Completed
277,4309,4426,0.75,Educator,2022-01-10,0.75,0.0,Completed
278,3239,4260,0.25,Co-Educator,2022-01-10,0.25,0.0,Completed
279,5656,4243,1.0,Co-Educator,2022-01-10,1.0,0.0,Completed
280,4256,4358,0.25,Co-Educator,2022-01-10,0.18,0.07,Partial
281,4069,4316,0.25,Co-Educator,2022-01-10,0.19,0.06,Partial
282,3018,4199,0.75,Educator,2022-01-10,0.45,0.3,Partial
283,3955,4206,0.75,Invigilator,2022-01-10,0.75,0.0,Completed
284,3335,4153,1.0,Educator,2022-01-10,1.0,0.0,Completed
285,1467,4103,1.0,Educator,2022-01-10,0.0,1.0,Cancelled
286,2710,4246,0.5,Educator,2022-01-10,0.5,0.0,Completed
287,3165,4373,0.75,Co-Educator,2022-01-10,0.0,0.75,Pending
288,3886,4143,1.0,Educator,2022-01-10,1.0,0.0,Completed
289,4635,4339,0.5,Educator,2022-01-10,0.5,0.0,Completed
290,2251,4418,0.5,Educator,2022-01-10,0.0,0.5,Cancelled
291,5186,4382,0.75,Co-Educator,2022-01-10,0.75,0.0,Completed
292,4757,4116,0.75,Educator,2022-01-10,0.75,0.0,Completed
293,3234,4476,0.25,Educator,2022-01-10,0.2,0.05,Partial
294,1791,4146,0.25,Co-Educator,2022-01-10,0.25,0.0,Completed
295,5891,4284,0.25,Educator,2022-01-10,0.25,0.0,Completed
296,2180,4415,0.5,Co-Educator,2022-01-10,0.5,0.0,Completed
297,1540,4164,1.0,Educator,2022-01-10,0.46,0.54,Partial
298,2709,4275,0.5,Co-Educator,2022-01-10,0.25,0.25,Partial
299,5374,4305,0.5,Educator,2022-01-10,0.5,0.0,Completed
300,3290,4427,0.25,Educator,2022-01-10,0.0,0.25,Cancelled
301,3954,4051,0.75,Co-Educator,2022-01-10,0.75,0.0,Completed
302,2934,4145,1.0,Educator,2022-01-10,0.42,0.58,Partial
303,5330,4104,0.75,Educator,2022-01-10,0.0,0.75,Cancelled
304,2650,4376,1.0,Co-Educator,2022-01-10,0.0,1.0,Cancelled
305,1670,4403,1.0,Co-Educator,2022-01-10,0.44,0.56,Partial
306,3444,4115,0.75,Co-Educator,2022-01-10,0.0,0.75,Cancelled
307,1013,4290,0.75,Co-Educator,2022-01-10,0.75,0.0,Completed
308,2793,4259,0.5,Co-Educator,2022-01-10,0.5,0.0,Completed
309,4298,4098,0.75,Co-Educator,2022-01-10,0.0,0.75,Cancelled
310,1797,4118,1.0,Co-Educator,2022-01-10,0.0,1.0,Cancelled
311,3667,4367,0.25,Educator,2022-01-10,0.12,0.13,Partial
312,3962,4252,0.5,Educator,2022-01-10,0.0,0.5,Cancelled
313,3913,4298,0.75,Co-Educator,2022-01-10,0.0,0.75,Pending
314,4137,4489,1.0,Educator,2022-01-10,0.33,0.67,Partial
315,2403,4414,0.5,Co-Educator,2022-01-10,0.0,0.5,Pending
316,1337,4042,1.0,Invigilator,2022-01-10,1.0,0.0,Completed
317,5592,4128,0.25,Invigilator,2022-01-10,0.1,0.15,Partial
318,1644,4046,0.25,Co-Educator,2022-01-10,0.25,0.0,Completed
319,1992,4168,0.5,Co-Educator,2022-01-10,0.27,0.23,Partial
320,2921,4229,1.0,Co-Educator,2022-01-10,1.0,0.0,Completed
321,1939,4377,0.75,Co-Educator,2022-01-10,0.56,0.19,Partial
322,4278,4289,0.25,Co-Educator,2022-01-10,0.13,0.12,Partial
323,1690,4350,0.25,Educator,2022-01-10,0.12,0.13,Partial
324,3914,4341,0.5,Educator,2022-01-10,0.0,0.5,Cancelled
325,5139,4068,0.5,Co-Educator,2022-01-10,0.5,0.0,Completed
326,1332,4128,1.0,Co-Educator,2022-01-11,1.0,0.0,Completed
327,5457,4382,1.0,Educator,2022-01-11,0.0,1.0,Pending
328,3279,4443,0.75,Co-Educator,2022-01-11,0.0,0.75,Pending
329,3511,4377,0.5,Educator,2022-01-11,0.0,0.5,Pending
330,4437,4209,0.25,Educator,2022-01-11,0.25,0.0,Completed
331,4487,4305,0.25,Co-Educator,2022-01-11,0.25,0.0,Completed
332,4351,4141,1.0,Co-Educator,2022-01-11,0.0,1.0,Pending
333,5626,4360,1.0,Educator,2022-01-11,1.0,0.0,Completed
334,4992,4161,0.5,Co-Educator,2022-01-11,0.0,0.5,Cancelled
335,2758,4030,0.5,Co-Educator,2022-01-11,0.26,0.24,Partial
336,3449,4311,1.0,Co-Educator,2022-01-11,1.0,0.0,Completed
337,1665,4235,0.75,Educator,2022-01-11,0.0,0.75,Cancelled
338,4816,4347,0.25,Co-Educator,2022-01-11,0.0,0.25,Pending
339,3416,4304,0.75,Educator,2022-01-11,0.75,0.0,Completed
340,2675,4342,0.25,Educator,2022-01-11,0.0,0.25,Cancelled
341,5830,4464,1.0,Educator,2022-01-11,1.0,0.0,Completed
342,3977,4070,1.0,Co-Educator,2022-01-11,0.74,0.26,Partial
343,2000,4369,0.75,Co-Educator,2022-01-11,0.33,0.42,Partial
344,1112,4056,0.75,Educator,2022-01-11,0.75,0.0,Completed
345,2891,4414,0.25,Invigilator,2022-01-11,0.1,0.15,Partial
346,1985,4067,0.5,Educator,2022-01-11,0.33,0.17,Partial
347,3161,4008,0.25,Co-Educator,2022-01-11,0.2,0.05,Partial
348,3320,4497,1.0,Educator,2022-01-11,1.0,0.0,Completed
349,3648,4026,0.5,Co-Educator,2022-01-11,0.17,0.33,Partial
350,1858,4014,0.5,Educator,2022-01-11,0.5,0.0,Completed
351,4711,4023,1.0,Educator,2022-01-11,0.75,0.25,Partial
352,2108,4487,0.5,Co-Educator,2022-01-11,0.18,0.32,Partial
353,4363,4285,0.5,Educator,2022-01-11,0.5,0.0,Completed
354,3202,4287,1.0,Co-Educator,2022-01-11,0.0,1.0,Cancelled
355,1762,4043,0.75,Co-Educator,2022-01-11,0.0,0.75,Pending
356,2398,4241,0.75,Educator,2022-01-11,0.75,0.0,Completed
357,1825,4365,1.0,Educator,2022-01-11,1.0,0.0,Completed
358,5268,4474,0.5,Educator,2022-01-11,0.5,0.0,Completed
359,4023,4073,0.75,Co-Educator,2022-01-11,0.26,0.49,Partial
360,4077,4354,0.5,Educator,2022-01-11,0.5,0.0,Completed
361,2157,4145,0.75,Educator,2022-01-11,0.0,0.75,Cancelled
362,2804,4042,1.0,Co-Educator,2022-01-11,0.0,1.0,Cancelled
363,3419,4233,0.25,Co-Educator,2022-01-11,0.09,0.16,Partial
364,5424,4203,1.0,Co-Educator,2022-01-11,0.71,0.29,Partial
365,2776,4095,0.5,Co-Educator,2022-01-11,0.0,0.5,Pending
366,1312,4457,0.5,Educator,2022-01-11,0.0,0.5,Cancelled
367,2715,4160,1.0,Co-Educator,2022-01-11,1.0,0.0,Completed
368,5444,4016,1.0,Co-Educator,2022-01-11,1.0,0.0,Completed
369,4230,4123,0.75,Invigilator,2022-01-11,0.0,0.75,Pending
370,2540,4476,0.25,Invigilator,2022-01-11,0.25,0.0,Completed
371,4198,4404,0.5,Educator,2022-01-11,0.5,0.0,Completed
372,1007,4082,0.5,Educator,2022-01-11,0.0,0.5,Pending
373,4332,4169,0.5,Co-Educator,2022-01-11,0.34,0.16,Partial
374,4460,4389,1.0,Educator,2022-01-11,1.0,0.0,Completed
375,5151,4388,0.25,Co-Educator,2022-01-11,0.13,0.12,Partial
376,3188,4398,1.0,Educator,2022-01-11,0.75,0.25,Partial
377,1084,4405,0.5,Co-Educator,2022-01-11,0.38,0.12,Partial
378,1519,4059,0.25,Educator,2022-01-11,0.25,0.0,Completed
