coord_id,faculty_id,batch_id,session_date,session_allocated,role
2202,2622,4478,2026-02-23,0.5,Co-Educator
2203,3448,4060,2025-11-18,1.0,Co-Educator
2204,4891,4356,2025-11-26,0.75,Educator
2205,3830,4394,2026-03-10,0.75,Co-Educator
2206,5379,4084,2025-07-01,0.0,Educator
2207,2613,4078,2026-04-04,0.5,Co-Educator
2208,3924,4152,2026-03-09,1.0,Invigilator
2209,2804,4428,2025-08-15,1.0,Educator
2210,1687,4320,2025-07-24,0.75,Co-Educator
2211,3379,4466,2025-06-11,1.0,Invigilator
2212,5132,4438,2026-01-13,0.75,Co-Educator
2213,3834,4054,2025-08-15,1.0,Invigilator
2214,3975,4129,2025-11-30,0.75,Educator
2215,5459,4253,2026-04-07,1.0,Co-Educator
2216,3798,4384,2025-05-17,0.75,Co-Educator
2217,2645,4276,2026-05-08,0.0,Co-Educator
2218,4179,4385,2026-01-03,0.25,Educator
2219,5661,4111,2025-10-13,0.5,Co-Educator
2220,5820,4298,2025-07-12,0.25,Co-Educator
2221,4478,4112,2026-01-30,0.25,Co-Educator
2222,2458,4386,2025-12-02,0.25,Co-Educator
2223,3052,4402,2026-03-07,1.0,Invigilator
2224,1852,4416,2025-10-10,0.25,Invigilator
2225,5786,4188,2025-07-24,1.0,Invigilator
2226,4076,4189,2026-04-16,0.25,Invigilator
2227,5746,4302,2025-12-20,0.25,Invigilator
2228,1314,4198,2025-05-08,1.0,Co-Educator
2229,1871,4436,2025-08-08,0.25,Invigilator
2230,5799,4219,2025-11-04,0.5,Educator
2231,2634,4350,2025-08-18,0.75,Invigilator
2232,3283,4001,2026-02-12,0.25,Co-Educator
2233,5805,4080,2026-01-27,0.75,Invigilator
2234,4642,4027,2025-07-03,0.5,Co-Educator
2235,4909,4146,2025-11-24,0.75,Co-Educator
2236,2500,4022,2025-07-21,0.25,Co-Educator
2237,2739,4355,2025-09-28,0.75,Invigilator
2238,1637,4089,2026-02-25,0.25,Co-Educator
2239,3131,4131,2025-05-21,0.75,Educator
2240,5507,4306,2025-07-13,0.25,Co-Educator
2241,5814,4184,2025-12-30,1.0,Invigilator
2242,5744,4295,2025-11-27,1.0,Educator
2243,1117,4339,2026-04-24,0.5,Co-Educator
2244,3571,4033,2026-04-11,1.0,Co-Educator
2245,5256,4474,2025-10-09,1.0,Educator
2246,4681,4189,2026-02-02,0.5,Co-Educator
2247,2955,4383,2025-12-15,1.0,Educator
2248,2402,4062,2025-10-23,0.0,Invigilator
2249,4828,4035,2025-09-14,1.0,Co-Educator
2250,1400,4432,2025-09-27,0.75,Invigilator
2251,3660,4119,2026-02-18,0.25,Co-Educator
2252,1417,4257,2026-02-24,1.0,Invigilator
2253,3902,4413,2026-03-29,0.25,Invigilator
2254,4321,4231,2025-10-19,0.75,Invigilator
2255,5739,4291,2025-12-12,0.75,Co-Educator
2256,4064,4167,2025-08-24,0.5,Co-Educator
2257,4786,4352,2025-09-29,0.75,Co-Educator
2258,2216,4341,2026-01-08,0.75,Educator
2259,2578,4179,2026-04-21,0.25,Educator
2260,5765,4236,2025-07-21,0.25,Educator
2261,2673,4031,2025-09-05,0.5,Educator
2262,3363,4162,2026-04-26,1.0,Co-Educator
2263,4308,4363,2025-12-11,0.5,Co-Educator
2264,3959,4214,2026-04-10,0.25,Educator
2265,5891,4241,2025-12-12,0.5,Co-Educator
2266,3025,4451,2026-03-15,0.25,Educator
2267,2953,4133,2026-02-27,1.0,Educator
2268,3255,4300,2026-01-20,0.75,Co-Educator
2269,1365,4257,2025-12-01,0.25,Co-Educator
2270,2792,4192,2026-02-04,0.25,Co-Educator
2271,3109,4311,2026-04-16,0.75,Invigilator
2272,5060,4477,2025-05-14,0.5,Invigilator
2273,1552,4024,2025-05-23,0.75,Co-Educator
2274,2367,4098,2025-06-04,0.75,Co-Educator
2275,2474,4262,2026-01-26,1.0,Invigilator
2276,1321,4297,2026-04-28,0.75,Invigilator
2277,3584,4208,2025-12-09,1.0,Educator
2278,1856,4122,2025-07-17,0.75,Co-Educator
2279,1319,4440,2025-08-31,1.0,Co-Educator
2280,2265,4079,2025-06-24,0.25,Educator
2281,1775,4286,2025-06-27,1.0,Co-Educator
2282,3244,4428,2025-08-20,0.5,Invigilator
2283,1294,4340,2025-09-22,1.0,Invigilator
2284,5498,4291,2026-01-27,0.5,Educator
2285,3664,4084,2025-10-02,1.0,Co-Educator
2286,4012,4086,2026-04-18,0.25,Co-Educator
2287,4633,4293,2025-07-18,0.5,Educator
2288,3069,4252,2025-08-07,1.0,Educator
2289,3321,4300,2025-05-27,1.0,Educator
2290,5091,4114,2025-12-04,0.75,Invigilator
2291,2487,4250,2025-08-14,0.25,Invigilator
2292,4681,4224,2025-11-02,1.0,Co-Educator
2293,2769,4227,2025-05-10,0.25,Educator
2294,3225,4109,2025-07-23,0.25,Invigilator
2295,5709,4460,2026-03-02,1.0,Invigilator
2296,5449,4123,2026-02-10,1.0,Invigilator
2297,4263,4246,2026-02-26,0.5,Educator
2298,2803,4185,2026-04-24,0.5,Invigilator
2299,1453,4258,2026-05-03,0.5,Co-Educator
2300,1017,4388,2026-03-02,0.25,Invigilator
2301,2320,4046,2025-08-11,0.75,Invigilator
2302,4991,4048,2025-11-06,0.75,Co-Educator
2303,4244,4146,2026-04-19,0.75,Invigilator
2304,5946,4005,2026-02-24,0.25,Co-Educator
2305,1791,4090,2025-12-01,1.0,Co-Educator
2306,5145,4178,2026-01-31,1.0,Invigilator
2307,4422,4291,2026-01-18,1.0,Invigilator
2308,1287,4066,2026-01-14,1.0,Invigilator
2309,4910,4051,2025-11-12,0.5,Educator
2310,4694,4284,2026-04-21,0.25,Co-Educator
2311,3756,4065,2026-04-29,0.5,Co-Educator
2312,3058,4276,2025-11-04,0.5,Invigilator
2313,2548,4221,2025-09-06,1.0,Co-Educator
2314,5933,4489,2025-10-15,0.5,Invigilator
2315,4203,4467,2025-12-14,0.75,Educator
2316,4902,4487,2025-10-19,0.75,Educator
2317,3432,4454,2025-06-04,0.25,Co-Educator
2318,3688,4229,2025-05-30,0.25,Invigilator
2319,3854,4057,2025-07-28,0.75,Educator
2320,5155,4002,2025-09-18,0.25,Invigilator
2321,3393,4428,2025-11-26,1.0,Educator
2322,5916,4259,2025-07-20,0.75,Invigilator
2323,2957,4376,2026-01-05,0.25,Invigilator
2324,3581,4226,2025-12-13,0.5,Invigilator
2325,2706,4193,2025-08-10,0.75,Invigilator
2326,3149,4070,2025-06-08,0.25,Invigilator
2327,3562,4254,2025-08-27,0.25,Invigilator
2328,5457,4098,2025-08-28,0.0,Invigilator
2329,2370,4142,2025-12-18,0.5,Invigilator
2330,2814,4290,2026-04-07,1.0,Educator
2331,5267,4236,2025-11-11,0.75,Co-Educator
2332,3948,4276,2025-05-09,1.0,Educator
2333,4210,4156,2025-10-12,0.25,Educator
2334,4541,4183,2025-08-26,0.25,Co-Educator
2335,1796,4088,2026-04-30,0.75,Co-Educator
2336,3110,4126,2026-04-04,1.0,Educator
2337,2822,4168,2026-02-10,0.75,Educator
2338,4351,4474,2025-12-22,0.25,Invigilator
2339,2748,4324,2025-06-06,0.75,Invigilator
2340,2287,4027,2025-08-10,1.0,Co-Educator
2341,2161,4330,2026-01-16,0.0,Educator
2342,3658,4207,2025-10-05,0.5,Co-Educator
2343,5239,4145,2025-09-13,0.75,Co-Educator
2344,4360,4079,2025-10-26,0.25,Invigilator
2345,1873,4368,2025-08-18,1.0,Educator
2346,4426,4150,2025-10-10,0.5,Educator
2347,4374,4099,2025-08-12,0.5,Invigilator
2348,5412,4258,2025-11-27,1.0,Invigilator
2349,5862,4365,2025-07-25,0.75,Invigilator
2350,5423,4421,2025-12-06,1.0,Educator
2351,4487,4329,2025-12-30,1.0,Educator
2352,2546,4314,2025-11-16,1.0,Co-Educator
2353,1511,4206,2026-01-06,0.5,Invigilator
2354,2666,4028,2025-07-30,0.25,Co-Educator
2355,3813,4434,2025-12-21,0.25,Invigilator
2356,3789,4027,2025-10-11,0.75,Educator
2357,2087,4239,2025-05-22,0.75,Educator
2358,5424,4188,2025-06-22,1.0,Co-Educator
2359,3029,4471,2025-12-26,0.75,Educator
2360,4503,4019,2025-09-21,1.0,Invigilator
2361,1497,4294,2026-01-14,1.0,Educator
2362,4179,4344,2025-11-29,0.75,Invigilator
2363,5864,4040,2025-11-07,0.75,Co-Educator
2364,1666,4018,2026-04-26,0.25,Invigilator
2365,4263,4071,2025-12-08,0.5,Educator
2366,1007,4199,2026-03-16,0.75,Educator
2367,2500,4112,2025-12-21,0.5,Educator
2368,2607,4167,2025-08-13,0.5,Invigilator
2369,5370,4170,2025-07-04,1.0,Co-Educator
2370,5112,4257,2025-09-10,1.0,Educator
2371,4239,4047,2025-11-26,0.75,Invigilator
2372,2710,4064,2025-07-07,0.75,Invigilator
2373,2344,4472,2026-04-14,0.75,Educator
2374,2721,4462,2025-09-27,0.25,Invigilator
2375,4270,4416,2026-03-06,1.0,Educator
2376,5458,4008,2025-07-09,0.75,Educator
2377,3139,4204,2025-06-27,1.0,Co-Educator
2378,1813,4098,2025-07-21,0.75,Invigilator
2379,1274,4320,2025-10-21,0.75,Co-Educator
2380,5613,4444,2025-10-25,1.0,Co-Educator
2381,3198,4052,2026-05-08,0.75,Educator
2382,4390,4277,2025-11-25,0.75,Invigilator
2383,2348,4268,2025-09-11,0.25,Educator
2384,5878,4406,2025-08-01,0.75,Invigilator
2385,1466,4231,2026-01-12,0.25,Co-Educator
2386,4186,4195,2025-09-05,0.75,Educator
2387,1043,4476,2026-04-14,0.5,Invigilator
2388,5822,4291,2025-10-07,0.5,Invigilator
2389,5428,4247,2025-09-23,0.5,Co-Educator
2390,4851,4310,2026-01-20,0.5,Invigilator
2391,4285,4101,2025-11-03,0.25,Educator
2392,5909,4254,2025-11-15,0.5,Invigilator
2393,5018,4036,2026-04-20,0.5,Educator
2394,5771,4149,2026-03-05,0.75,Co-Educator
2395,1217,4417,2025-06-26,0.0,Educator
2396,3997,4251,2026-04-08,0.5,Invigilator
2397,1001,4310,2025-10-23,0.75,Educator
2398,2706,4177,2025-05-08,0.75,Educator
2399,5873,4195,2026-03-24,0.25,Co-Educator
2400,1460,4285,2026-01-28,0.25,Invigilator
2401,1008,4293,2025-11-25,0.75,Invigilator
2402,4065,4299,2025-10-26,0.75,Educator
2403,5777,4192,2026-01-08,0.25,Co-Educator
2404,5425,4063,2025-10-05,0.75,Co-Educator
2405,3721,4012,2025-05-27,0.25,Invigilator
2406,4845,4485,2025-06-18,0.75,Educator
2407,2113,4132,2025-08-29,0.75,Invigilator
2408,5919,4092,2025-06-27,1.0,Educator
2409,1569,4235,2025-12-23,0.75,Co-Educator
2410,5422,4202,2025-08-04,0.75,Educator
2411,1314,4052,2026-01-09,0.25,Co-Educator
2412,1303,4121,2025-11-03,0.25,Invigilator
2413,5683,4061,2025-06-19,1.0,Co-Educator
2414,4866,4314,2025-07-19,0.25,Educator
2415,2784,4463,2025-08-28,0.25,Invigilator
2416,4051,4364,2026-02-27,1.0,Invigilator
2417,2257,4095,2025-05-22,0.75,Invigilator
2418,4676,4396,2025-06-24,1.0,Co-Educator
2419,5720,4352,2025-09-06,0.5,Co-Educator
2420,2956,4181,2026-01-20,0.75,Invigilator
2421,1370,4132,2025-10-14,0.25,Invigilator
2422,4528,4123,2025-09-19,0.0,Invigilator
2423,3550,4329,2025-08-10,0.25,Invigilator
2424,4415,4329,2025-06-15,0.75,Co-Educator
2425,2108,4089,2026-03-10,0.25,Invigilator
2426,5467,4116,2026-04-25,0.75,Invigilator
2427,4441,4332,2025-08-08,0.5,Co-Educator
2428,1429,4397,2025-07-23,0.25,Educator
2429,5162,4497,2026-03-17,0.75,Co-Educator
2430,5912,4222,2025-07-16,0.5,Invigilator
2431,1026,4352,2026-01-29,1.0,Invigilator
2432,3140,4213,2025-10-21,0.5,Co-Educator
2433,1931,4405,2025-06-12,0.5,Co-Educator
2434,1152,4102,2025-09-15,0.25,Educator
2435,3864,4217,2025-11-08,0.25,Co-Educator
2436,4494,4464,2026-03-06,0.5,Co-Educator
2437,1627,4479,2026-04-16,0.5,Invigilator
2438,1459,4104,2025-07-02,0.5,Educator
2439,4314,4468,2025-06-07,0.5,Co-Educator
2440,5360,4495,2026-01-29,0.5,Educator
2441,5219,4338,2026-01-26,1.0,Invigilator
2442,1950,4246,2026-04-15,0.25,Invigilator
2443,5351,4249,2026-01-02,0.0,Educator
2444,5953,4354,2026-01-24,0.75,Educator
2445,3368,4393,2025-08-31,1.0,Invigilator
2446,1205,4437,2025-10-07,0.75,Educator
2447,2161,4239,2025-08-03,0.75,Co-Educator
2448,2736,4038,2026-02-15,0.5,Co-Educator
2449,4722,4334,2026-04-18,0.75,Invigilator
2450,1409,4176,2025-10-14,0.75,Invigilator
2451,1518,4133,2025-07-10,0.75,Educator
2452,4756,4236,2026-03-28,1.0,Invigilator
2453,4825,4114,2026-05-05,0.5,Invigilator
2454,1511,4196,2025-11-03,0.5,Co-Educator
2455,4202,4047,2025-05-29,1.0,Invigilator
2456,5954,4242,2026-03-09,0.75,Co-Educator
2457,1234,4417,2025-09-25,0.25,Invigilator
2458,2662,4129,2025-05-26,0.5,Co-Educator
2459,4968,4063,2025-09-30,0.5,Invigilator
2460,5966,4221,2026-01-04,0.5,Invigilator
2461,1538,4427,2025-08-03,0.25,Co-Educator
2462,3083,4494,2026-03-07,0.75,Educator
2463,2162,4009,2025-09-18,1.0,Educator
2464,5736,4372,2026-01-11,0.75,Co-Educator
2465,1712,4363,2025-08-06,1.0,Educator
2466,2898,4097,2025-06-29,0.25,Co-Educator
2467,2316,4171,2025-11-21,0.25,Co-Educator
2468,3549,4155,2025-08-02,0.25,Co-Educator
2469,4321,4310,2025-08-16,1.0,Educator
2470,1855,4438,2026-03-08,0.75,Co-Educator
2471,5279,4451,2025-12-23,0.25,Invigilator
2472,3003,4451,2025-06-16,0.0,Educator
2473,2731,4148,2026-04-18,0.25,Invigilator
2474,2485,4317,2025-09-30,0.25,Invigilator
2475,4788,4389,2026-03-23,1.0,Co-Educator
2476,1731,4463,2025-07-11,0.5,Invigilator
2477,4589,4482,2025-12-23,0.75,Invigilator
2478,2648,4032,2025-10-06,0.25,Co-Educator
2479,4656,4222,2026-01-03,0.25,Educator
2480,2172,4270,2026-01-18,0.0,Educator
2481,5939,4156,2025-11-12,0.75,Invigilator
2482,3348,4343,2025-06-29,0.75,Educator
2483,4061,4358,2025-08-21,0.5,Co-Educator
2484,4283,4442,2025-11-14,0.75,Co-Educator
2485,2533,4271,2025-11-22,1.0,Educator
2486,2234,4058,2025-07-03,0.75,Invigilator
2487,1897,4472,2026-03-12,0.75,Co-Educator
2488,5621,4276,2026-01-30,1.0,Co-Educator
2489,4206,4500,2026-02-22,0.5,Co-Educator
2490,3743,4294,2025-05-27,0.25,Co-Educator
2491,5409,4405,2026-03-08,0.5,Co-Educator
2492,4529,4201,2025-09-11,0.0,Co-Educator
2493,2788,4225,2026-01-22,0.75,Educator
2494,5869,4096,2026-01-06,1.0,Invigilator
2495,5717,4255,2025-05-17,0.25,Educator
2496,2075,4033,2026-02-12,0.5,Invigilator
2497,4664,4310,2026-04-26,0.75,Educator
2498,5617,4241,2025-07-29,1.0,Invigilator
2499,2381,4071,2026-01-13,0.5,Educator
2500,1838,4396,2025-10-18,0.25,Co-Educator
2501,4309,4338,2025-09-21,0.75,Educator
2502,4954,4052,2025-05-17,0.5,Invigilator
2503,1022,4109,2026-04-04,0.75,Co-Educator
2504,2065,4375,2025-07-29,1.0,Invigilator
2505,1706,4392,2025-12-12,0.25,Invigilator
2506,2361,4057,2026-02-12,0.75,Educator
2507,1606,4391,2026-02-17,0.25,Invigilator
2508,1411,4064,2026-02-26,0.25,Educator
2509,5065,4238,2025-11-20,0.5,Educator
2510,5683,4069,2025-07-28,0.25,Invigilator
2511,2028,4210,2025-11-24,1.0,Educator
2512,4872,4139,2026-05-01,0.5,Co-Educator
2513,1783,4003,2025-07-19,0.75,Invigilator
2514,3288,4094,2025-12-10,0.75,Educator
2515,5304,4176,2025-10-07,1.0,Invigilator
2516,1624,4485,2026-03-30,0.25,Co-Educator
2517,3483,4480,2025-11-10,0.25,Educator
2518,4502,4075,2026-02-21,0.5,Co-Educator
2519,2086,4288,2026-01-09,1.0,Invigilator
2520,4054,4394,2026-04-23,1.0,Invigilator
2521,3280,4123,2026-01-10,0.75,Educator
2522,1269,4205,2025-09-03,0.75,Co-Educator
2523,1950,4399,2025-09-14,1.0,Educator
2524,3752,4028,2026-01-10,0.25,Co-Educator
2525,4979,4021,2026-02-24,0.25,Educator
2526,4611,4089,2025-12-14,0.5,Educator
2527,1744,4460,2025-10-20,1.0,Co-Educator
2528,4582,4118,2026-03-30,0.25,Co-Educator
2529,4143,4209,2025-11-11,1.0,Educator
2530,2538,4300,2026-01-12,0.75,Invigilator
2531,2388,4183,2026-03-06,0.75,Educator
2532,5214,4230,2025-09-27,1.0,Co-Educator
2533,3330,4187,2026-02-01,0.5,Invigilator
2534,1487,4473,2025-05-30,0.5,Invigilator
2535,5640,4224,2026-02-19,0.25,Invigilator
2536,2681,4279,2025-05-20,1.0,Invigilator
2537,5807,4400,2026-04-02,1.0,Educator
2538,1015,4383,2026-01-06,0.75,Educator
2539,2852,4239,2025-05-16,0.5,Educator
2540,1718,4484,2026-03-16,0.75,Invigilator
2541,4684,4460,2025-11-09,0.75,Invigilator
